NRUN	NEvent	NtrackX	NtrackY	Ntrack	Theta	Phi	IdEv	Nview	Sdet
812	26119	7	7	7	49.89	108.33	0	7	20.7528
812	27408	5	5	5	41.21	162.29	0	5	25.5529
812	48112	9	8	8	44.32	248.91	0	7	19.7457
812	51585	5	5	5	58.83	226.3	0	5	32.0966
812	55983	6	5	5	48.24	143.01	0	6	29.0171
812	57797	6	4	4	40.02	213.11	0	6	25.0168
812	59708	5	4	4	49.15	116.39	0	5	23.4875
812	87754	6	6	6	41.57	149.44	0	6	25.9966
812	89400	9	8	8	57.02	225.68	0	8	31.5412
812	94004	5	4	4	40.57	200.16	0	5	25.3574
812	104026	5	5	5	47.88	235.85	0	5	25.3185
812	106908	8	9	8	42.51	145.6	0	7	26.302
812	108359	5	5	5	43.38	111.08	0	5	19.3685
812	112127	7	7	7	47.17	133.77	0	6	27.1745
812	126311	12	10	10	57.99	207.43	0	12	33.9419
812	130986	6	5	5	41.51	208.03	0	6	26.0294
812	131949	7	5	5	40.23	250.44	0	7	17.569
812	157634	5	5	5	41.65	203.73	0	5	26.0914
812	162852	69	30	29	41.56	244.13	0	52	20.1645
812	165372	5	6	5	40.29	150.63	0	5	25.3229
812	170814	6	6	6	43.32	130.9	0	6	24.7586
812	172624	14	9	9	63.16	139.4	0	9	34.6997
812	204470	36	36	35	58.36	148.95	0	36	33.9673
812	212246	36	36	34	42.13	239.71	0	35	21.6936
812	226705	5	5	5	42.21	202.61	0	5	26.3679
812	232011	5	5	5	57.2	132.84	0	5	31.2974
812	234677	5	4	4	54	105.6	0	5	20.9092
812	234892	8	7	7	55.83	221.65	0	7	31.8032
812	235527	6	6	6	67.72	137.92	0	6	35.8554
812	237222	5	5	5	49.71	120.4	0	5	25.0068
812	238079	7	6	6	42.59	234.4	0	6	23.2596
812	239227	12	11	11	62.67	115.84	0	12	27.8592
812	242660	7	9	6	40.9	229.35	0	8	23.4894
812	247368	7	6	6	49.8	253.25	0	7	20.0664
812	250169	5	5	5	55.08	132.28	0	5	30.3434
812	255154	5	5	5	45.06	199.47	0	5	27.738
812	255532	9	8	8	50.9	246.62	0	9	23.0801
812	261580	10	11	10	62.22	123.61	0	10	30.5346
812	266189	17	15	15	57.78	162.19	0	17	33.4861
812	277334	6	6	6	44.46	127.68	0	6	24.6335
812	282537	12	11	10	43.02	147.13	0	11	26.6747
812	290084	6	7	6	40.74	216.07	0	6	25.2109
812	314619	5	6	5	64.44	162.23	0	5	35.9139
812	316737	6	5	5	52.43	224.44	0	6	29.8936
812	317361	5	5	5	40.01	197.77	0	5	24.892
812	318299	7	5	5	58.4	141.87	0	6	33.3372
812	321153	6	6	5	49.01	121.23	0	6	24.9713
812	341527	5	5	5	56.94	220.09	0	5	32.4917
812	351043	26	25	24	48.49	235.22	0	27	25.7519
812	377071	5	5	5	60.8	251.91	0	5	24.0062
812	391293	6	7	6	40.18	243.65	0	5	19.6935
812	408315	8	8	8	56.1	124.55	0	8	28.744
812	416803	5	4	4	45.31	200.17	0	5	27.9102
812	418385	5	6	5	52.63	158.87	0	5	31.526
812	421795	6	5	5	49.38	136.26	0	5	28.6483
812	427316	5	4	4	47.65	145.26	0	5	28.9335
812	428212	7	4	4	50.87	213.15	0	6	30.6022
812	442610	7	7	7	62.33	146.33	0	7	35.2699
812	458901	6	6	6	49.53	138.98	0	6	29.1394
812	466235	9	9	9	40.71	151.27	0	9	25.5728
812	469899	5	4	4	53.49	251.7	0	5	21.9395
812	470198	7	6	6	48.72	116.44	0	6	23.3354
812	472342	6	7	6	40.85	136	0	6	24.3618
812	482599	6	6	6	50.17	137.13	0	6	29.1548
812	482723	9	10	9	45.94	215.67	0	9	27.9979
812	489619	9	7	7	49.84	163.6	0	8	29.8694
812	502364	9	9	9	56.09	254.32	0	9	21.5687
812	508977	5	4	4	48.39	134.49	0	5	27.8801
812	531137	6	5	5	49.83	211.73	0	5	30.1979
812	552806	6	6	6	63.54	123.96	0	6	31.0507
812	554495	8	5	5	56.31	138.47	0	7	32.0172
812	569450	5	5	5	41.04	198.18	0	5	25.4941
812	573968	9	7	7	45.76	149.63	0	5	28.2372
812	580578	9	9	8	44.97	229.59	0	9	25.4669
