delta_r,delta_s,delta_Ne
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.11622740000000009,0.16633571694377913
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.2157871,-0.1956974421788804
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.21485095559682366,-0.04262780794425348
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.26982470000000003,-0.054895429793472755
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.0374082,0.026043883472092293
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.2460036000000001,-0.41285897037073055
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1576839000000001,0.27302308448251716
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.06804625878048265,0.2861593658677958
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.09592869999999998,-0.0710170396833704
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.20594020000000013,0.13263651511481378
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.03602972434571816,0.3816120446250502
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.22964671557155913,-0.6763076553057417
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.13732239999999996,0.7777665477083238
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.039026900000000087,0.56864200674791
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.23584850000000013,0.10924880024901944
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.07190197283283495,0.31424222371464877
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1231255,0.1404238329746483
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.06075849999999994,0.42610160736257807
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.12109545116904541,0.44470316082807737
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.0734676126490299,0.3520222351038632
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.2848737000000001,-0.16936384894321288
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.04880609999999996,1.213923462421303
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.08841500000000013,0.3746230329567262
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.021667400000000114,0.04047249219193878
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.0696666610799308,-0.12814696970972236
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.18877840000000012,0.13206759471036714
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.14230350000000014,0.22019151812643012
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.11509159999999996,0.24347979227890149
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.12285453939728241,0.3040295106715207
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.00848921452910445,0.0031970453740801288
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.04583974008243241,1.0407799142268699
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.18174820366423083,0.19665979905765138
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.24593510000000007,0.2825112314105789
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.17672960000000004,0.0834446959915801
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.17659080000000005,-0.09062417360569681
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.2074979005097306,0.2980516706869532
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.18280646648405652,-0.33162175482777684
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.19224550000000007,-0.10171499566629286
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.058708121542742076,0.14369986731308093
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.023063975733076836,0.08757604381373635
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.06909100000000001,-0.18429187943225123
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.2594864000000001,0.3488220572107254
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.10611520000000008,0.1487481062731771
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1731296,-0.32709242719217557
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.21238879497101082,0.2534646490180346
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.08035880122865424,-0.0686237998593818
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.029905386865155092,0.4837330529975133
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.05493035923912304,0.16955912714450425
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1228085000000001,0.05090494318459521
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.09329510747360747,0.7539888760331919
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.17017290000000007,0.2528938910260117
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.29332540000000007,-0.5732625413534548
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.23402840000000014,0.11862307442671485
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.23235620000000012,0.9252645619073795
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.025228830412275638,-0.2880892839717183
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1979139000000001,0.21125483912069568
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.13205369999999994,0.16006960964436154
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.16922191380370544,0.27534365842998576
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.21434180000000014,0.008618344577643626
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.12688302562813858,0.18993480889113581
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.16647760000000011,0.4224697240897525
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.24212370000000005,-0.017586860706475506
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.04098019999999991,0.3452307461190235
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.012519005984099607,-0.2145391505128352
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.029489600000000005,0.2870268855109282
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.0010360300993395022,0.2522324259488777
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.09309570022902203,0.3289834213145903
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.11166140000000002,0.36536475078241937
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.12432160000000003,-0.0035359351880151417
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.22591969999999995,0.00544841572989344
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.22646939251537512,0.14545900613541107
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.1203829999999999,0.47903321298487495
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.08362083585145985,0.0017024337605767066
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.17727139999999997,0.16499825248001634
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.13199859999999997,0.358212680437292
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.0367310591719221,-0.010531621229831811
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.026913714180604842,-0.057451075364681574
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.07369859999999995,-0.04571134789575978
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.03691926036962667,-0.2343907180216127
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1210481000000001,-0.020914997187368094
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.037800536203160595,0.2534283709306478
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.08831410000000006,0.3073992601802101
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.15596774858439244,-0.3258434011621585
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1383039811685225,0.366732398768214
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.07247604904066796,0.20617916390517257
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1615705521813957,-0.45154968947273816
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.08601937271641491,0.44866155744066993
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.14696959418011413,-0.26891971666638
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.2789591,2.54577672345074
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.05634110000000003,0.45231744847092126
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.13007180000000007,0.06493347640103202
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.07942142293695853,0.0377340365425695
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.24767450000000002,0.25424373656840416
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.061282980088184,0.04697566421672433
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.025231411016026994,0.7890578955356853
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.19191486507786149,0.20146105246274218
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.012250100000000153,0.3051100715756543
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.10750890845875816,0.29252156979011146
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.17464845116926342,0.15666949293163066
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.05882429306565684,0.5102239116832279
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.2136745,0.06264152495729891
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.2183835421162954,-0.11736011409676186
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.27513870000000007,0.06220468498288674
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1895544,-0.13345305794598114
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.2552958000000001,-7.100330004537838e-05
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.0026178209190077517,1.0527160885875817
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.18185446777305692,-0.23544943024024248
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.015067751417752184,0.42253848516077913
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.12131679910032633,0.1377566140728551
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1891292,0.4451563447721907
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.18744779999999994,1.3401575756619692
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.021794312344677325,0.19918103338739132
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,0.05730391102056731,0.5891526685370282
<built-in method tolist of numpy.ndarray object at 0x1668c4090>,-0.1627343000000001,0.4350690243740033
